Sensor vs Time;21.11.2011 00:00:00;21.11.2011 01:00:00;21.11.2011 02:00:00;21.11.2011 03:00:00;21.11.2011 04:00:00;21.11.2011 05:00:00;21.11.2011 06:00:00;21.11.2011 07:00:00;21.11.2011 08:00:00;21.11.2011 09:00:00;21.11.2011 10:00:00;21.11.2011 11:00:00;21.11.2011 12:00:00;21.11.2011 13:00:00;21.11.2011 14:00:00;21.11.2011 15:00:00;21.11.2011 16:00:00;21.11.2011 17:00:00;21.11.2011 18:00:00;21.11.2011 19:00:00;21.11.2011 20:00:00;21.11.2011 21:00:00;21.11.2011 22:00:00;21.11.2011 23:00:00
DXB677A;0,116667;0,133333;0,027778;0,077778;0,127778;0,363889;0,597222;1,677778;2,944444;4,366667;3,288889;3,025;2,936111;3,502778;4,655556;3,9;5,4;4,495822;4,66205;3,02507;2,479224;1,102778;0,933333;0,855153
DXB677B;0,044444;0,311111;0,205556;0,141667;0,1;0,188889;0,85;1,013889;1,7;2,683333;2,455555;2,186111;2,430556;4,333333;3,505556;2,872222;3,294445;3,200557;2,772853;3,236769;1,950138;0,669444;1,316667;0,852368
DXB677C;0,658333;0,061111;0,2;0,05;0,111111;0,277778;0,9;2,036111;2,347222;4,694445;3,061111;3,708333;4,519444;3,411111;4,722222;5,55;5,444445;5,345404;5,864266;4,593315;4,202216;3,588889;3,361111;1,51532
DXB696A;3,052778;1,083333;1,052778;0,161111;0,130556;0,266667;0,652778;3,069444;5,452778;6,677778;3,616667;4,027778;3,880556;3,847222;4,144444;5,422222;3,980556;4,611111;4,433333;4,027778;2,505556;1,738889;0,894444;2
DXB696B;0,183333;0,15;0,111111;0,141667;0,158333;0,294444;0,669444;2,491667;4,913889;5,844444;4,152778;4,161111;4,311111;3,922222;3,327778;4,319445;5,419445;4,786111;5,094444;4,611111;3,988889;4,113889;2,166667;2,027778
DXB696C;1,025;0,088889;0,105556;0,352778;0;0,208333;0,244444;0,519444;2,875;3,691667;4,347222;2,502778;3,4;3,4;3,063889;3,675;3,425;3,347222;2,605556;4,966667;3,491667;3,375;4,222222;2,422222
DXB697A;0,169444;0,691667;0,011111;0,105556;0,044444;0,077778;0,636111;1,583333;2,775;4,961111;4,766666;4,358334;4,844444;4,788889;4,225;4,730556;6,85;6,288889;5,408334;4,427778;3,658333;3,197222;3,611111;1,869444
DXB697B;0,519444;0,361111;0,133333;0,536111;1,558333;0,808333;1,211111;2,769444;4,388889;6,386111;5,780556;5,947222;5,286111;4,975;5,611111;5,708333;6,955555;7,511111;6,938889;7,416667;4,825;2,202778;1,883333;2,075
DXB697C;0,155556;0,161111;0,030556;0,052778;0,030556;0,047222;0,027778;0,341667;0,811111;2,069444;2,166667;2,588889;2,194444;2,183333;2,886111;1,986111;2,155555;1,847222;1,802778;1,425;1,344444;0,827778;0,891667;0,280556
DXB697E;0,144445;0,086111;0,055556;0,144445;0,169444;0,391667;1,777778;3,880556;5,002778;7,483333;3,969445;2,880556;2,65;4,313889;4,294445;5,308333;5,605556;6,316667;6,841667;3,063889;1,136111;1,011111;0,666667;0,741667
DXB697F;0,011111;0,008333;0,136111;0,322222;0,766667;0,047222;0,2;0,788889;1,213889;1,552778;1,380556;1,055556;1,15;1,377778;1,677778;2,186111;1,505556;1,902778;1,752778;1,411111;0,736111;0,630556;1,352778;0,983333
DXB699A;0,058333;0,077778;0,052778;0,022222;0,008333;0,383333;0,191667;0,972222;2,280555;4,569445;4,708333;3,805556;3,775;3,261111;3,422222;3,808333;4,966667;5,359332;5,34072;5,376045;5,6482;4,866667;3,513889;1,830084
DXB699B;2,358333;2,183333;2,155555;2,086111;1,833333;1,233333;1,297222;2,169445;4,152778;7,533333;6,394444;6,488889;4,966666;6,230556;4,977777;7,847222;6,052778;5,019499;5,110803;4,011142;5,473684;2,833333;3,430556;2,91922
DXB699C;1,058333;0,802778;0,441667;0,225;0,205556;0,275;0,491667;1,063889;2,508333;5,011111;8,047222;7,691667;6,508333;6,388889;6,647222;7,236111;8,288889;5,576602;4,451524;1,721448;4,31856;1,966667;3,575;2,091922
DXB706A;1,544444;1,758333;1,013889;0,305556;0,227778;0,780555;1,338889;3,65;8,477777;9,286112;8,641666;6,747222;5,669445;6,597222;6,211111;6,783333;8,963889;9,198135;6,958333;5,00831;5,256268;4,725;4,437673;1,969359
DXB706B;0,372222;0,202778;0,15;0,25;0,275;0,808333;1,688889;5,291667;10,46389;10,99444;9,566667;7,316667;5,283333;5,702778;6,152778;5,566667;8,502778;7,236769;7,402778;6,842105;6,364902;3,830555;2,623269;2,052925
DXB706C;0,413889;0,647222;0,041667;0,041667;0,016667;0,225;0,166667;0,666667;1,569444;2,138889;2,036111;1,213889;1,855556;2,175;2,155555;3,030555;2,816667;2,952646;2,802778;1,698061;2,167131;2,583333;0,867036;0,699164
DXB707B;0,108333;0,130556;0,055556;0,008333;0,091667;0,413889;0,827778;1,447222;4,127778;3,380556;2,772222;2,763889;2,85;2,297222;3,147222;3,044445;3,530555;4,075209;4,863889;2,728532;1,395543;1,525;1,227147;0,272981
DXB707C;0,038889;0,038889;0,019444;0,030556;0,033333;0,266667;0,35;1,075;2,116667;2,216667;1,194444;1,244444;1,433333;1,461111;1,838889;1,941667;1,927778;2,885794;2,116667;2,468144;1,314763;0,780555;0,299169;0,526462
DXB707F;0;0;0;0;0;0;0,069444;0,158333;0,663889;0,630556;0,297222;0,794444;0,927778;0,444444;0,4;0,533333;0,491667;0,431755;0,511111;0,468144;0,094708;0,469444;0;0
DXB707G;0;0;0;0;0;0;0,011111;0,352778;0,636111;0,922222;0,45;0,452778;1,055556;0,347222;0,633333;0,702778;0,594445;0,905293;0,630556;0,468144;0,462396;0,294444;0;0
DXB725A;0,058333;0,066667;0,069444;0,038889;0,069444;0,35;0,477778;1,822222;5,280556;7,652778;6,305555;7,466667;5,747222;5,502778;8,241667;6,258333;5,477778;6,880556;7,852778;6,466667;5,425;5,747222;4,311111;4,369444
DXB725B;0,616667;0,061111;0,175;0,133333;0,002778;0,077778;0,15;1,55;2,644444;3,925;4,052778;3,983333;4,447222;2,911111;2,819444;3,758333;7,191667;5,411111;3,530555;3,477778;2,983333;2,172222;0,902778;0,377778
DXB726A;0,783333;0,522222;0,286111;0,283333;0,033333;0,105556;0,169444;0,413889;1,091667;1,386111;2,763889;2,413889;3,597222;3,697222;3,25;2,633333;4,025;3,069444;3,438889;2,419445;2,130555;1,861111;3,380556;1,830556
DXB726B;2,436111;0,925;0,786111;0,25;0,038889;0,127778;1,347222;0,622222;2,808333;4,236111;5,058333;4,944445;4,958333;5,85;5,747222;6,316667;6,022222;5,516666;6,338889;7,491667;5,894444;7,138889;6,083333;3,008333
DXB726C;0,544444;0,547222;0,016667;0,008333;0,175;0,125;0,127778;0,152778;0,372222;1,511111;1,25;2,711111;2,694444;2,994444;2,730556;1,616667;3,138889;2,208333;3,191667;2,183333;0,472222;0,808333;1,075;0,752778
DXB726E;0;0;0;0;0;0;0,063889;0,238889;1,063889;1,094444;1,375;1,827778;2,902778;1,586111;1,502778;1,611111;2,45;3,15;2,547222;2,169445;1,802778;0;0;0
DXB726F;0;0;0;0;0;0;0,111111;0,477778;1,491667;1,922222;2,386111;2,958333;2,333333;2,405555;2,627778;2,152778;3,338889;3,702778;3,866667;3,552778;2,530555;0;0;0
DXB726G;0;0;0;0;0;0;0;0,111111;1,044444;1,022222;1,947222;1,975;3,097222;3,083333;1,555556;1,583333;2,305556;1,680556;2,702778;1,088889;0,777778;0;0;0
DXB754A;0,138889;0,127778;0,083333;0,058333;0,022222;0,022222;0,177778;0,644444;1,691667;2,413889;2,086111;1,572222;1,391667;2,063889;2,083333;1,416667;2;1,930555;1,652778;1,569444;0,547222;0,738889;0,802778;0,136111
DXB754B;0,125;0,069444;0,044444;0,027778;0,030556;0,05;0,605556;1,363889;3,85;4,255556;3,991667;4,702778;3,725;4,005556;4,088889;5,538889;5,252778;5,294444;4,169445;4,786111;2,702778;1,722222;1,980556;0,908333
DXB755A;0,247222;0,233333;0,505556;0,436111;0,088889;0,241667;0,280556;0,852778;2,144444;2,052778;2,291667;2,633333;2,744444;3,277778;5,741667;2,663889;2,466667;1,715877;0,927778;1,116343;2,27298;1,433333;0,789474;0,172702
DXB755B;1,294444;0,619444;0,305556;0,083333;0,1;0,302778;0,475;1,575;3,408333;5,647222;5,908333;6,216667;5,944445;5,177778;7,605556;7,511111;7,455555;9,314763;10,84444;8,365651;6,175488;7,569445;3,922438;2,752089
DXB755C;0,263889;0,013889;0,136111;0;0,133333;0,136111;0,108333;0,558333;0,913889;1,627778;2,363889;0,911111;1,597222;2,213889;1,863889;1,519444;2,527778;1,690808;1,816667;1,476454;1,590529;2,844445;1,512465;0,910864
DXB756A;2,816667;0,638889;0,997222;1,127778;0,894444;0,272222;1,802778;2,133333;4,158333;5,6;6,95;7,497222;8,366667;7,425;5,894444;6,602778;7,327778;7,311978;8,299999;6,628809;6,802228;7,038889;6,825485;4,532033
DXB756B;2,958333;1,108333;0,555556;0,152778;0,013889;0,508333;0,177778;2,022222;4,708333;5,813889;6,433333;8,105556;8,036111;8,152778;8,247222;9,016666;10,01389;7,635098;11,54445;8,498615;6,512535;9,241667;5,01108;3,030641
DXB756C;2,727778;2,175;0,730556;0,163889;0,272222;0,202778;0,436111;1,369444;2,433333;5,5;6,591667;6,891667;6,933333;6,058333;5,597222;5,658333;5,547222;7,479109;7,436111;7,099723;8,766017;7,469444;4,307479;2,373259
DXB757A;0,566667;0,447222;0,036111;0,186111;0,077778;0,105556;0,286111;1,297222;3,744444;3,988889;3,633333;4,286111;4,283333;5,283333;6,105556;3,538889;4,847222;4,986073;4,625;3,98338;3,713092;3,097222;2,65374;3,002785
DXB757B;0,197222;0,038889;0,027778;0,041667;0,044444;0,155556;0,125;0,436111;1,863889;1,838889;2,288889;3,341667;1,855556;1,927778;2,230556;3,888889;3,272222;3,749304;5,663889;3,036011;3,924791;3,602778;2,842105;0,523677
DXB757C;0,144445;0,119444;0,063889;0,086111;0,027778;0,086111;0,197222;0,641667;1,438889;2,019444;2,3;1,680556;2,236111;1,419444;1,719444;1,627778;2,486111;1,303621;3,869444;2,254848;2,030641;2,875;1,722992;0,523677
DXB758A;0,341667;0,030556;0,144445;0,075;0,022222;0,522222;0,752778;0,925;3,266667;3,919445;2,972222;4,441667;5,827778;6,141667;5,688889;5,416667;6,127778;6,416667;5,213889;6,891667;5,144444;2,95;2,163889;1,394444
DXB758B;0,675;0,733333;0,136111;0,525;0,730556;0,230555;0,416667;1,055556;3,411111;2,511111;4,525;3,988889;2,361111;2,294445;3,747222;5,961111;5,025;4,961111;3,938889;2,916667;3,663889;1,955556;1,688889;1,213889
DXB758C;1,152778;1,363889;0,391667;0,341667;0,111111;0,297222;0,288889;1,202778;1,519444;2,402778;2,088889;4,547222;4,127778;2,872222;3,638889;3,661111;4,566667;4,180555;2,369444;2,322222;1,986111;1,772222;1;1,747222
DXB759A;2,158333;2,361111;2,130556;1,136111;1,211111;1,363889;0,8;1,669444;2,35;5,802778;4,541667;6,208333;5,186111;5,844444;6,483333;5,841667;5,486111;6,991667;6,036111;3,830555;5,180555;2,113889;2,738889;4,430555
DXB759B;0,258333;0,058333;0,075;0,025;0,116667;0,066667;0,25;1,769444;3,102778;3,647222;2,102778;2,141667;2,527778;2,533333;2,852778;2,566667;3,522222;5,311111;3,316667;2,219445;1,588889;2,294445;2,083333;1,219444
DXB759C;0,038889;0,255556;0,205556;0,002778;0;0,019444;0,086111;0,841667;2,055556;1,772222;2,586111;3,102778;3,15;1,816667;2,322222;2,813889;2,255556;2,225;1,608333;0,702778;0,55;0,711111;0,211111;0,813889
DXB762A;0,063889;0,083333;0,002778;0,005556;0,016667;0,658333;0,144445;1,652778;1,580556;1,933333;2,5;1,875;3,116667;2,297222;3,744444;2,580555;3,575;3,805556;2,919445;2,55;1,872222;2,227778;0,977778;0,561111
DXB762B;1,558333;0,516667;1,002778;0,586111;0;0,730556;0,961111;1,238889;3,75;5,605556;8,85;8,633333;8,341666;8,055555;6,616667;6,808333;9,419444;9,216666;10,65278;9,569445;8,122222;4,947222;5,241667;5,241667
DXB762C;0,272222;0,297222;0,147222;0,033333;0,083333;0,113889;0,341667;1,658333;2,625;3,575;4,269444;4,141667;4,155556;3,936111;4,305555;4,491667;4,355556;5,305555;3,513889;4,775;3,355556;4,394444;3,066667;1,136111
DXB763A;0,019444;0,036111;0,033333;0;0,036111;0,088889;0,122222;0,072222;1,161111;1,266667;2,605556;2,011111;1,194444;1,088889;1,361111;1,411111;2,147222;2,102778;1,830556;1,058333;0,816667;1,597222;0,880556;0,033333
DXB763B;0,05;0,058333;0,111111;0,066667;0,075;0,019444;0,183333;0,338889;1,019444;1,977778;1,7;1,811111;2,761111;2,408334;1,813889;2,261111;1,386111;1,336111;1,208333;0,880556;0,680556;0,258333;0,708333;0,125
DXB763C;0,477778;0,183333;0,125;0,055556;0,005556;0,066667;0,233333;0,152778;0,608333;1,108333;1,697222;1,558333;1,777778;1,35;1,347222;1,066667;1,516667;2,016667;0,983333;1,269444;0,819444;1,461111;0,763889;0,061111
DXB764A;0,886111;0,277778;0,158333;0,022222;0,080556;0,058333;0,525;0,508333;1,394444;2,283333;2,597222;4,647222;5,061111;3,969445;3,516667;4,244444;3,544445;3,641667;5,483333;2,197222;2,797222;3,383333;2,427778;1,002778
DXB764B;1,408333;0,4;0,044444;0,058333;0,044444;0,108333;0,436111;0,966667;3,238889;4,466667;3,702778;4,338889;4,730556;5,291667;5,611111;5,141666;4,775;6,597222;5,705555;3,736111;5,3;4,047222;2,308333;2,202778
DXB764C;0,961111;0,313889;0,419444;0,325;0,102778;0,15;0,938889;2,502778;4,841667;8,272223;7,630556;8,694445;7,975;6,7;7,783333;8,858334;9,377778;6,122222;5,205555;3,477778;2,488889;1,577778;1,452778;0,666667
DXB765A;0,283333;0,088889;0,002778;0,063889;0,002778;0,088889;0,388889;1,941667;4,447222;5,630556;5,913889;6,211111;5,355556;5,802778;5,619444;6,258333;6,072222;5,091667;5,152778;5,308333;4,683333;3,116667;2,161111;0,513889
DXB765B;0,786111;0,519444;0,094444;0,522222;0,022222;0,147222;0,211111;1,486111;4,85;7,622222;6,077778;7,961111;8,433333;8,4;8,952778;10,14722;9,388889;9,425;10,71389;7,427778;5,436111;5,997222;3,9;0,733333
DXB765C;0,608333;0,225;0,141667;0,241667;0,111111;0,263889;0,711111;1,708333;3,966667;5,483333;6,908333;5,777778;5,588889;6,441667;6,25;7,252778;5,591667;6,591667;4,155556;4,580555;3,108333;2,255556;2,625;2,838889
